Country,Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Type,Store Status,Store Type,Opening Date,Trading Days,Size (sqm),FS - new
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,"Rabwa Plaza, Riyadh",RB2-2167-STA,Standalone,LFL,Plaza,6/18/2016,147,252,Antony
KSA,Central,Riyadh,"Faisaliah Centre, Riyadh",Apparel,Foot Locker,"Faisaliah Centre, Riyadh",RB2-2459-FOO,Standalone,LFL,Plaza,7/23/2016,147,148,Abdul Rahman
KSA,Central,Riyadh,"Granada Center, Riyadh",Apparel,Claire's,"Granada Centre, Riyadh",RB2-2246-CLA,Standalone,LFL,Mall Location,9/3/2005,147,52,Abdul Rahman
KSA,Central,Onaizah,"Othaim Mall,Onizah",Starbucks,Starbucks,"Othaim Mall, Onizah",RB2-S939-STA,Standalone,LFL,Mall Location,10/31/2018,147,169,Antony
KSA,Central,Riyadh,Qasr Mall,Wellness,MAC,Qasr Mall,RB2-S355-MAC,Standalone,LFL,Mall Location,12/22/2012,147,71,Abu Shahid
KSA,Central,Riyadh,Riyadh Gallery,Starbucks,Starbucks,"Riyadh Gallery 2, Riyadh",RB2-S555-STA,Standalone,LFL,Mall Location,2/20/2016,147,114,Abu Shahid
KSA,Central,Riyadh,"Othaim Mall, Rabwa",Wellness,MAC,"Othaim Mall, Rabwa",RB2-2268-MAC,Standalone,LFL,Mall Location,11/29/2014,147,70,Antony
KSA,Central,Riyadh,"Othaim Mall, Khurais",Wellness,Bath and Body Works,"Othaim Mall, Khurais",RB2-2013-BAT,Standalone,LFL,Mall Location,1/31/2015,147,123,Antony
KSA,Central,Riyadh,KKIA Riyadh,Wellness,Bath and Body Works,KKIA-T5,RB2-H015-BAT,Standalone,LFL,"Others, Airport",7/30/2019,147,55,Abdul Rahman
KSA,Central,Riyadh,Stand Alone,Starbucks,Starbucks,Centro Anas,RB2-S942-STA,Standalone,LFL,Plaza,5/17/2018,147,200,Antony
