Region,City,Mall,Division,Brand,Store Name,Oracle Ccid,Code,Store Type,Store Status,Opening Date,Closure, SQM , FM  , FS  
Western,Madina,"Rashid Mega Mall, Medina",Wellness,Bath and Body Works,"Rashid Mega Mall, Medina",RB2-S183-BAT,S183,Mall Location,LFL,17-Nov-2012,,208,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Wellness,Bath and Body Works,"Oberoi, Medina",RB2-S439-BAT,S439,Others,LFL,28-Oct-2017,,110,Hakeem ,Jamal 
Western,Madina,"Rashid Mega Mall, Medina",Apparel,Foot Locker,"Rashid Mega Mall, Madina",RB2-H325-FOO,H325,Mall Location,LFL,19-Aug-2021,,238,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Apparel,Foot Locker,"Oberoi, Medina",RB2-S872-FOO,S872,Others,LFL,28-Oct-2017,,145,Hakeem ,Jamal 
Western,Madina,Aliat Al Medina,Hennes and Mauritz,Hennes and Mauritz,Aliat Al Medina,RB2-2746-HEN,2746,Mall Location,LFL,30-Nov-2017,,2003,Hakeem ,Jamal 
Western,Madina,"Rashid Mega Mall, Medina",Hennes and Mauritz,Hennes and Mauritz,Al Rashid Mega Mall,RB2-S184-HEN,S184,Mall Location,LFL,27-Sep-2014,,1358,Hakeem ,Jamal 
Western,Madina,"Rashid Mega Mall, Medina",Apparel,Milano,"Rashid Mega Mall, Medina",RB2-1754-MIL,1754,Mall Location,LFL,30-Aug-2008,,133,Hakeem ,Jamal 
Western,Madina,"Al Dakheel Plaza, Medina",Apparel,Milano,Dakheel Plaza  Madina,RB2-1837-MIL,1837,Plaza,LFL,6-Jul-2008,,103,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Apparel,Milano,"Oberoi, Medina",RB2-1846-MIL,1846,Others,LFL,1-Sep-2001,,141,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Apparel,Mothercare,"Oberoi, Medina",RB2-1841-MOT,1841,Others,LFL,1-Nov-1995,,211,Hakeem ,Jamal 
Western,Madina,Aliat Al Medina,Apparel,Mothercare,Aliat Al Medina,RB2-2666-MOT,2666,Mall Location,LFL,13-Sep-2008,,238,Hakeem ,Jamal 
Western,Madina,"Rashid Mega Mall, Medina",Apparel,Next,"Rashid Mega Mall, Medina",RB2-1829-NEX,1829,Mall Location,LFL,31-Aug-2008,,301,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Apparel,Next,"Oberoi, Medina",RB2-1843-NEX,1843,Others,LFL,1-Oct-1996,,245,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Hospitality,Pinkberry,"Oberoi, Medina",RB2-1960-PIN,1960,Others,LFL,15-Mar-2018,,71,Hakeem ,Jamal 
Western,Madina,"Rashid Mega Mall, Medina",Starbucks,Starbucks,"Rashid Mega Mall, Medina",RB2-1756-STA,1756,Mall Location,LFL,21-Jun-2008,,110,Hakeem ,Jamal 
Western,Madina,"Dakheel Plaza, Medina",Starbucks,Starbucks,Dakheel Plaza  Madina,RB2-1836-STA,1836,Plaza,LFL,19-Jul-2008,,104,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Starbucks,Starbucks,Oberoi Medina 3,RB2-1840-STA,1840,Others,LFL,6-Dec-2017,,119,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Starbucks,Starbucks,"Oberoi, Medina - Level 0",RB2-1854-STA,1854,Others,LFL,19-Aug-2005,,25,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,"Jammat Bin Dawood, Medina",RB2-2499-STA,2499,High Street,LFL,11-Feb-2017,,152,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Hizam Street,RB2-2539-STA,2539,High Street,LFL,21-Jan-2019,,192,Hakeem ,Jamal 
Western,Madina,Aliat Al Medina,Starbucks,Starbucks,Aliat Al Medina,RB2-2668-STA,2668,Mall Location,LFL,8-Oct-2008,,150,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,"Salam Plaza DT,Madina",RB2-H153-STA,H153,Drive-Thru,LFL,17-Dec-2020,,200,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Mohammadyh center DT,RB2-H184-STA,H184,Drive-Thru,LFL,6-Jul-2022,,200,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Al Mowasat Hospital Madina,RB2-H556-STA,H556,Hospital,LFL,23-Oct-2022,,74,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Rawaq Plaza,RB2-H571-STA,H571,Shopping Mall / Center,LFL,14-Sep-2023,,341,Hakeem ,Jamal 
Western,Madina,Noor Mall Medina,Starbucks,Starbucks,"Noor Mall, Medina",RB2-H655-STA,H655,Shopping Mall / Center,LFL,28-Dec-2022,,40,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Anwar Almadinah Movenpick Mall-Madina,RB2-H715-STA,H715,Shopping Mall / Center,LFL,16-May-2023,,68,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Madinah Airport InternationalTerminal-Madina,RB2-H723-STA,H723,Airport,PTL,1-Feb-2024,,98,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Madinah Airport DomesticTerminal-Madina,RB2-H724-STA,H724,Airport,PTL,7-Mar-2024,,120,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Madina Tamimi Al Hijrah Walk  Madina,RB2-H770-STA,H770,Shopping Mall / Center,LFL,10-Nov-2023,,143,Hakeem ,Jamal 
Western,Madina,"Oberoi, Medina",Starbucks,Starbucks,Oberoi Medina 2,RB2-S573-STA,S573,Others,LFL,18-Jun-2016,,79,Hakeem ,Jamal 
Western,Madina,Stand Alone,Starbucks,Starbucks,Jarir-Madina,RB2-S990-STA,S990,Plaza,LFL,4-Nov-2020,,160,Hakeem ,Jamal 
Western,Madina,The Palms View DT,Starbucks,Starbucks,The Palms View DT,RB2-H841-STA,H841,Drive-Thru,TBC,9-Oct-2025,,195,Hakeem ,Jamal 
Western,Makkah,Abraaj Al Bait Makkah,Wellness,Bath and Body Works,"Abraaj Al Bait, Makkah",RB2-2549-BAT,2549,Mall Location,LFL,24-Jun-2015,,156,Hakeem ,Jamal 
Western,Makkah,Makkah Mall Makkah,Wellness,Bath and Body Works,Makkah Mall  Makkah,RB2-H487-BAT,H487,Shopping Mall / Center,LFL,13-Oct-2022,,80,Hakeem ,Jamal 
Western,Makkah,Diyafah Mall Makkah,Wellness,MAC,Diyafah Mall  Makkah,RB2-2019-MAC,2019,Mall Location,LFL,6-Jun-2015,,50,Hakeem ,Jamal 
Western,Makkah,Diyafah Mall Makkah,Apparel,Milano,"Diyafah Mall, Makkah (New)",RB2-S700-MIL,S700,Mall Location,LFL,6-Apr-2015,,127,Hakeem ,Jamal 
Western,Makkah,Hijaz Mall Makkah,Apparel,Milano,"Hijaz Mall, Mecca",RB2-S865-MIL,S865,Mall Location,LFL,25-Mar-2017,,145,Hakeem ,Jamal 
Western,Makkah,Diyafah Mall Makkah,Apparel,Mothercare,Diyafah Mall  Makkah,RB2-1951-MOT,1951,Mall Location,LFL,1-Oct-2001,,215,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Apparel,Mothercare,Jabal Omar C1,RB2-S938-MOT,S938,Mall Location,LFL,20-Sep-2018,,164,Hakeem ,Jamal 
Western,Makkah,Diyafah Mall Makkah,Starbucks,Starbucks,"Diyafah Mall, Makkah -2",RB2-1956-STA,1956,Mall Location,LFL,18-Aug-2005,,59,Hakeem ,Jamal 
Western,Makkah,Hijaz Mall Makkah,Starbucks,Starbucks,"Hijaz Mall, Mecca",RB2-2385-STA,2385,Mall Location,LFL,29-May-2016,,181,Hakeem ,Jamal 
Western,Makkah,Abraaj Al Bait Makkah,Starbucks,Starbucks,"Abraaj Al Bait, Makkah - (1st Flr)-2",RB2-2555-STA,2555,Mall Location,LFL,4-Dec-2006,,240,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,Haramain Makkhah,RB2-H059-STA,H059,Others,LFL,14-Dec-2019,,110,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,"Haramain station, Madina",RB2-H065-STA,H065,Others,LFL,14-Dec-2019,,120,Hakeem ,Jamal 
Western,Makkah,Abraaj Al Bait Makkah,Starbucks,Starbucks,"Abraaj Al Bait 2nd Floor, Makkah",RB2-H159-STA,H159,Mall Location,LFL,13-Jul-2021,,310,Hakeem ,Jamal 
Western,Makkah,Stand Alone,Starbucks,Starbucks,"Othaim market - Ash Shawqiyyah DT, Makkah",RB2-H163-STA,H163,Drive-Thru,LFL,24-Jun-2022,,200,Hakeem ,Jamal 
